CID,CRPName
N00029258,"Hunter, Duncan D"
N00031265,"Hurt, Robert"
N00005675,"Hutchison, Kay Bailey"
N00004702,"Hyde, Henry J"
N00002460,"Inglis, Bob"
N00005582,"Inhofe, James M"
N00001762,"Inouye, Daniel K"
N00001725,"Inslee, Jay R"
N00002593,"Isakson, Johnny"
N00013345,"Israel, Steve"
N00007017,"Issa, Darrell"
N00005551,"Istook, Ernest J"
N00005818,"Jackson Lee, Sheila"
N99999979,"Jackson, Alphonso"
N00012457,"Jackson, Jesse Jr"
N99999943,"Jackson, Lisa P"
N00005353,"Jefferson, William J"
N00000534,"Jeffords, James M"
N00033640,"Jeffries, Hakeem"
N00003202,"Jenkins, Bill"
N00029077,"Jenkins, Lynn"
N99999900,"Jewell, Sarah"
N00026786,"Jindal, Bobby"
N00029444,"Johanns, Michael O"
N00008038,"John, Chris"
N00032088,"Johnson, Bill"
N99999996,"Johnson, Clay III"
N00008122,"Johnson, Eddie Bernice"
N00027848,"Johnson, Hank"
N00000561,"Johnson, Nancy L"
N00032546,"Johnson, Ron"
N00008028,"Johnson, Sam"
N99999952,"Johnson, Stephen L"
N00010084,"Johnson, Tim"
N00012890,"Johnson, Timothy V."
N00003561,"Jones, Stephanie Tubbs"
N00002299,"Jones, Walter B Jr"
N00027894,"Jordan, James D"
N00035007,"Joyce, David P"
N99999916,"Kagan, Elena"
N00027618,"Kagen, Steven Leslie"
N00033177,"Kaine, Tim"
N00001509,"Kanjorski, Paul E"
N00003522,"Kaptur, Marcy"
N00030767,"Kaufman, Ted"
N00031933,"Keating, William R"
N00009614,"Keller, Ric"
N00031647,"Kelly, Mike"
N00035215,"KELLY, ROBIN L."
N00001020,"Kelly, Sue"
N00006283,"Kempthorne, Dirk"
N99999923,"Kennedy, Anthony M"
N00000308,"Kennedy, Edward M"
N00034044,"Kennedy, Joe III"
N00009670,"Kennedy, Mark"
N00000360,"Kennedy, Patrick J"
N00000245,"Kerry, John"
N00004070,"Kildee, Dale E"
N00033395,"Kildee, Dan"
N00034453,"Kilmer, Derek"
N00004005,"Kilpatrick, Carolyn Cheeks"
N00027778,"Kilroy, Mary Jo"
N00004403,"Kind, Ron"
N00034580,"King, Angus"
N00001193,"King, Pete"
N00025237,"King, Steven A"
N00002656,"Kingston, Jack"
N00030667,"Kinzinger, Adam"
N00012539,"Kirk, Mark"
N00031303,"Kirk, Paul"
N99999933,"Kirk, Ronald"
N00029260,"Kirkpatrick, Ann"
N00028859,"Kissell, Larry"
N00004330,"Kleczka, Jerry"
N00027515,"Klein, Ron"
N00004436,"Kline, John"
N00027500,"Klobuchar, Amy"
N00004045,"Knollenberg, Joe"
N00004309,"Kohl, Herb"
N00006486,"Kolbe, Jim"
N00029370,"Kosmas, Suzanne"
N00029146,"Kratovil, Frank M Jr"
N99999902,"Krueger, Alan B"
N00003572,"Kucinich, Dennis J"
N00026087,"Kuhl, John R Jr"
N00030875,"Kuster, Ann Mclane"
N00006406,"Kyl, Jon"
N00031377,"Labrador, Raul"
N00004933,"LaHood, Ray"
N00033987,"LaMalfa, Doug"
N00028133,"Lamborn, Douglas L"
N00005928,"Lampson, Nick"
N00000898,"Lance, Leonard"
N00005395,"Landrieu, Mary L"
N00031503,"Landry, Jeffrey M"
N00009724,"Langevin, Jim"
N00031129,"Lankford, James"
N00007382,"Lantos, Tom"
N00009759,"Larsen, Rick"
N00000575,"Larson, John B"
N00004227,"Latham, Tom"
N00003545,"LaTourette, Steven C"
N00012233,"Latta, Robert E"
N00000659,"Lautenberg, Frank R"
N00004280,"Leach, Jim"
N00009918,"Leahy, Patrick"
N99999960,"Leavitt, Michael"
N00008046,"Lee, Barbara"
N00030198,"Lee, Christopher J"
N00031696,"Lee, Mike"
N00031304,"LeMieux, George S"
N00001691,"Levin, Carl"
N00003950,"Levin, Sander"
N99999911,"Lew, Jack"
N00007087,"Lewis, Jerry"
N00002577,"Lewis, John"
N00003476,"Lewis, Ron"
N99999995,"Libby, I Lewis"
N00000616,"Lieberman, Joe"
N00008092,"Lincoln, Blanche"
N00002599,"Linder, John"
N00004856,"Lipinski, Bill"
N00027239,"Lipinski, Daniel William"
N00000851,"LoBiondo, Frank A"
N99999934,"Locke, Gary F"
N00027741,"Loebsack, David"
N00007479,"Lofgren, Zoe"
N00030676,"Long, Billy"
N00003329,"Lott, Trent"
N00033274,"Lowenthal, Alan"
N00001024,"Lowey, Nita M"
N00005559,"Lucas, Frank D"
N00003444,"Lucas, Ken"
N00030026,"Luetkemeyer, Blaine"
N00001764,"Lugar, Richard G"
N00029562,"Lujan, Ben R"
N00029788,"Lummis, Cynthia Marie"
N00011971,"Lungren, Dan"
N00013855,"Lynch, Stephen F"
N00026425,"Mack, Connie"
N00027891,"Maffei, Dan"
N00027804,"Mahoney, Timothy Edward"
N00025138,"Majette, Denise L"
N00000078,"Maloney, Carolyn B"
N00034277,"Maloney, Sean Patrick"
N00032838,"Manchin, Joe"
N00004905,"Manzullo, Don"
N00026710,"Marchant, Kenny Ewell"
N00031777,"Marino, Tom"
N00029128,"Markey, Betsy"
N00000270,"Markey, Edward J"
N00009635,"Marshall, Jim"
N00026748,"Martinez, Mel"
N00027550,"Massa, Eric"
N00034041,"Massie, Thomas"
N00009753,"Matheson, Jim"
N00027459,"Matsui, Doris"
N00006424,"McCain, John"
N00001148,"McCarthy, Carolyn"
N00005119,"McCarthy, Karen"
N00028152,"McCarthy, Kevin"
N00027694,"McCaskill, Claire"
N00026460,"McCaul, Michael"
N00006863,"McClintock, Tom"
N00012942,"McCollum, Betty"
N00003389,"McConnell, Mitch"
N00013808,"McCotter, Thad"
